"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",1.27204803307445,0.197179412361807,-0.0213776570793863,0.0118601598571728,0.00326111843428771,-0.00384652495044725,-0.00671494471802969,0.0248707634557762,0.00513265153171565,0.0185679472983042,0.00831396322659438
"139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",1.27204803451537,0.197179411114906,-0.0213776591632198,0.0118601596866797,0.00326111741747799,-0.00384652548705832,-0.00671494584152934,0.0248707635826475,0.00513265143388056,0.0185679472756919,0.00831396247735274
"141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",1.27204803493817,0.197179411249675,-0.0213776577448759,0.0118601588451769,0.00326111715724292,-0.00384652527329439,-0.0067149454118319,0.0248707618789942,0.00513265104049869,0.0185679459739761,0.00831396187561508
"143",1.27204803492114,0.197179411244377,-0.0213776578013922,0.0118601588788354,0.00326111716774469,-0.00384652528179618,-0.00671494542891266,0.0248707619470979,0.00513265105623056,0.0185679460260256,0.00831396189974566
"144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",228.012715155376,-158.494921173104,54.9207049266769,112.901927565611,103.954942989985,102.497061829443,81.9060535655606,107.090681278344,123.221086780156,122.512524435113,109.904801849429
"151",232.476731278723,-172.498761215543,60.4767952937942,114.486528304135,106.836971452611,106.427726430162,95.5691112775016,101.202412884097,130.288432825187,131.619084625563,111.07917555012
"152",235.95521933188,-184.081345935269,66.2382491913269,116.161003781046,109.824194675873,110.03797723261,109.084448338069,95.2850255527508,137.635967709315,141.398932618861,112.133247912292
"153",238.378558310368,-193.381317030148,71.8619118169282,117.755961013752,112.687464596014,113.194005862207,121.850967933661,89.4254150736764,145.000414083297,151.407728461971,112.903727182814
"154",239.722749388222,-200.555117374112,77.0621654031825,119.131921414747,115.23408923462,115.797153823119,133.400046539366,83.6960564486498,152.136201797811,161.209775840473,113.268228267197
"155",239.996644088903,-205.765976127668,81.6201378844008,120.180667320147,117.313882545946,117.780422414239,143.404941212639,78.1530500001964,158.819536126588,170.406536850393,113.14532721557
"156",239.232290610845,-209.177384637607,85.384288303856,120.823721313784,118.819649285006,119.104694347489,151.672728240003,72.83673837981,164.85304845391,178.658450555134,112.490778969953
"157",237.477946198756,-210.949565272128,88.2652835801302,121.00934836563,119.68418343137,119.754853657505,158.125297804562,67.7736421703767,170.070365936128,185.698776037238,111.291824055002
"158",234.793143018219,-211.23776730011,90.2275752563242,120.708961798458,119.875353633479,119.735966910431,162.775434052626,62.9788895145281,174.339801533395,191.339375298084,109.560885099694
"159",231.245224626075,-210.191571857194,91.2795071319933,119.913442356551,119.390374694884,119.069646442977,165.702554141151,58.4586555987331,177.566548544699,195.469415694856,107.329447373498
